subject.ID,Anterior_hippocampus,Posterior_hippocampus,MISC,Meninges_PHC,ERC,Br35,Br36,PHC,ColSul,OTSul,Meninges
sub-2245781_ses-NAPFU24_run-001_T1w,1956.5,1723.75,19.75,81.25,705.5,791.75,2633,1458.5,381,217,287.75
sub-2332918_ses-NAPBL00_run-001_T1w,1608.5,1472.25,89.75,176,496.5,543,1858.5,695.25,142.25,210.5,231.5
sub-2332918_ses-NAPEN00_run-001_T1w,1527.75,1493.5,98.25,187.25,503,512.75,1778.25,739,150,246.75,259.5
sub-2332918_ses-NAPFU03_run-001_T1w,1573,1475.75,94.75,173.5,524,554.75,1867.5,696,160.25,227,230.25
sub-2332918_ses-NAPFU12_run-001_T1w,1569,1501.5,96.5,182.75,518.75,509.25,1831.25,726.25,131,222,222.5
sub-2332918_ses-NAPFU24_run-001_T1w,1579.5,1485,85.5,176,518.75,543.25,1907.25,727.25,156,224.75,214
sub-2332918_ses-NAPFU36_run-001_T1w,1551.75,1409.25,105,179.25,509,516.25,1756.5,672.25,123.25,203.25,269.5
sub-2332918_ses-NAPFU48_run-001_T1w,1548.25,1453,105.5,183.5,490.75,502.5,1761.5,684,146,248.5,241.25
sub-2336041_ses-PREBL00_run-001_T1w,1581.25,1440.75,167.25,215.75,513.75,603,2095.75,957.5,863.75,124.75,433.75
sub-2336041_ses-PREEN00_run-001_T1w,1593,1513,183.25,207.25,549.5,582.75,2196.5,953.25,872.75,126.75,426
sub-2336041_ses-PREFU24_run-001_T1w,1534.75,1404,140,214,533.25,601.25,2121.5,918.25,865.25,95.5,394.5
sub-2336041_ses-PREFU36_run-001_T1w,1573.5,1428.5,182.25,207,550,578.75,2189.25,936,912,139.25,382.75
sub-2345993_ses-PREBL00_run-001_T1w,2251,2303.5,48.75,192.75,763,785.25,2573,1277.25,427,59.75,432.25
sub-2345993_ses-PREEN00_run-001_T1w,2243.25,2261.75,30,178.25,823,818.75,2654,1289,358,55.75,375.25
sub-2345993_ses-PREFU12_run-001_T1w,2214.5,2279,54.5,194.75,787.5,778.25,2598,1292.75,403.25,63.25,416.25
sub-2355062_ses-NAPBL00_run-001_T1w,1579.75,1618.75,219.75,229.25,550.75,528.5,2588.25,862.5,528.75,90.5,409.75
sub-2355062_ses-NAPEN00_run-001_T1w,1601,1605,190.5,206.75,557,559.25,2638.25,884.25,458,81.5,388
sub-2355062_ses-NAPFU03_run-001_T1w,1596.5,1625.75,192.25,235,543,538,2628.75,852.5,511.5,90.75,392.75
sub-2355062_ses-NAPFU12_run-001_T1w,1587.75,1620.25,227.5,226.25,517.25,536,2488.75,846.25,540,88,421.5
sub-2416212_ses-PREBL00_run-001_T1w,1727.25,1944.75,15.75,144.5,604.25,679.75,2220,847.25,373.75,119,376.75
sub-2416212_ses-PREEN00_run-001_T1w,1710,1946.75,16.25,139.25,584.75,683.75,2153,852,358.5,159.5,383.75
sub-2424540_ses-NAPBL00_run-001_T1w,1819,1398,219.25,219,584,448.25,1715.75,784.5,351.75,280.5,295.75
sub-2424540_ses-NAPEN00_run-001_T1w,1852,1424.5,198.25,235.25,609.75,451.25,1755,783,351.25,263.75,284.25
sub-2424540_ses-NAPFU03_run-001_T1w,1824.5,1387.75,208.75,243.25,597.25,451.75,1715.25,760.5,388,297,281
sub-2424540_ses-NAPFU12_run-001_T1w,1811.25,1392.75,213.25,216,572.25,425.25,1687.25,763.75,350.75,273.75,283.5
sub-2424540_ses-NAPFU24_run-001_T1w,1777.5,1357.75,249,249,566.25,415,1600.75,733.5,404.25,295.5,316
sub-2424540_ses-NAPFU36_run-001_T1w,1783.5,1368.5,225.75,233,561,420.25,1618,744.5,400.5,274.75,284.75
sub-2424540_ses-NAPFU48_run-001_T1w,1733.75,1299.5,237,244.5,528.5,437,1552,664.5,409.75,291.75,327.5
sub-2448082_ses-PREBL00_run-001_T1w,1714.25,1799.25,165.25,268,634.75,768.5,2145.75,1013.5,479.25,127.75,495.5
sub-2448082_ses-PREEN00_run-001_T1w,1712.5,1806.75,173.5,282.75,628.75,807.25,2145.75,1050.25,473.75,127.75,435.5
sub-2448082_ses-PREFU12_run-001_T1w,1700.75,1790,191.5,283.5,619,741.75,2133.75,996.5,511.25,135.25,504.25
sub-2448082_ses-PREFU24_run-001_T1w,1681.25,1794.75,169.75,279.25,612.5,754.75,2140.5,963,479.25,139.75,483.5
sub-2484374_ses-PREBL00_run-001_T1w,2075.75,1922.25,107,191,781.5,785.25,2285,1254.25,407.75,198.75,359.25
sub-2484374_ses-PREEN00_run-001_T1w,2053.25,1960,101,198.75,753.75,781.75,2395,1291.25,374.75,181,301
